                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.85662,                0.46415,                 0.8205,                0.92765,                 0.8797,                0.93053,                0.60023,                 1.0149,                0.50076,                0.83297,                0.00208,                0.00208,                0.00208
                    122,                0.85804,                0.45896,                0.82332,                0.94473,                0.87674,                0.92587,                0.59368,                  1.018,                0.49821,                0.83243,               0.002014,               0.002014,               0.002014
                    123,                0.86074,                 0.4579,                0.82444,                0.95758,                0.87637,                0.93568,                0.59397,                 1.0246,                0.49981,                0.83332,               0.001948,               0.001948,               0.001948
                    124,                0.87777,                0.45939,                0.82483,                0.93493,                0.87967,                0.91903,                0.58855,                  1.023,                0.49763,                0.83346,               0.001882,               0.001882,               0.001882
                    125,                0.86563,                0.45684,                0.82265,                0.95729,                0.85963,                0.92264,                 0.5892,                  1.025,                0.50155,                0.83326,               0.001816,               0.001816,               0.001816
                    126,                0.87742,                0.45825,                0.82569,                0.92046,                0.88328,                 0.9251,                0.59262,                 1.0339,                0.50282,                0.83268,                0.00175,                0.00175,                0.00175
                    127,                0.86659,                0.45732,                0.81891,                0.92133,                0.88956,                0.92709,                0.59432,                 1.0353,                0.50242,                0.83303,               0.001684,               0.001684,               0.001684
                    128,                0.87343,                0.45386,                0.82061,                0.91913,                0.89222,                0.92562,                0.58895,                 1.0354,                0.50226,                0.83284,               0.001618,               0.001618,               0.001618
                    129,                0.88722,                0.45332,                0.82386,                0.92119,                 0.8931,                 0.9266,                 0.5924,                 1.0431,                0.50229,                0.83346,               0.001552,               0.001552,               0.001552
                    130,                0.88025,                0.45242,                0.82176,                0.93721,                0.88177,                 0.9268,                0.58815,                 1.0449,                0.50533,                 0.8337,               0.001486,               0.001486,               0.001486
                    131,                0.88883,                0.45539,                 0.8227,                0.93041,                0.87553,                0.92726,                0.58863,                 1.0429,                0.50112,                0.83262,                0.00142,                0.00142,                0.00142
                    132,                0.88163,                0.45398,                0.82127,                0.92884,                0.87514,                0.92531,                0.59123,                  1.052,                0.50284,                0.83283,               0.001354,               0.001354,               0.001354
                    133,                 0.8818,                0.45065,                0.82416,                0.93502,                0.88442,                 0.9267,                0.58866,                  1.056,                 0.5016,                0.83259,               0.001288,               0.001288,               0.001288
                    134,                0.88046,                0.44622,                0.82104,                0.93627,                0.88594,                0.92648,                0.59363,                 1.0576,                0.50066,                0.83221,               0.001222,               0.001222,               0.001222
                    135,                0.88877,                0.44805,                0.81931,                0.93548,                 0.8857,                0.92575,                0.58999,                 1.0629,                0.49682,                0.83305,               0.001156,               0.001156,               0.001156
                    136,                 0.8767,                0.44303,                0.82029,                0.92691,                0.89558,                0.92593,                0.59142,                 1.0651,                 0.4972,                 0.8327,                0.00109,                0.00109,                0.00109
                    137,                0.86927,                0.43884,                0.81892,                0.93071,                0.89596,                0.92715,                0.59224,                 1.0671,                0.49665,                0.83254,               0.001024,               0.001024,               0.001024
